over_number,commentary_data,timestamp,match_id
preview," Squad: Shikhar Dhawan(c), Prabhsimran Singh, Bhanuka Rajapaksa, Jitesh Sharma(w), Shahrukh Khan, Sam Curran, Sikandar Raza, Nathan Ellis, Harpreet Brar, Rahul Chahar, Arshdeep Singh, Rishi Dhawan, Atharva Taide, Harpreet Singh Bhatia, Matthew Short, Mohit Rathee, Kagiso Rabada, Vidhwath Kaverappa, Baltej Singh, Gurnoor Brar, Raj Bawa, Shivam Singh",1680964219012,66236
preview," Squad: Mayank Agarwal, Anmolpreet Singh(w), Rahul Tripathi, Aiden Markram(c), Harry Brook, Washington Sundar, Abdul Samad, Bhuvneshwar Kumar, T Natarajan, Umran Malik, Adil Rashid, Heinrich Klaasen, Fazalhaq Farooqi, Mayank Markande, Mayank Dagar, Marco Jansen, Abhishek Sharma, Upendra Yadav, Glenn Phillips, Akeal Hosein, Vivrant Sharma, Nitish Reddy, Sanvir Singh, Kartik Tyagi, Samarth Vyas",1680964304997,66236
preview,,1680964307047,66236
preview,,1680964307057,66236
preview," It's Super Sunday and it's an IPL double-header day! Hello and a warm welcome to today's second encounter. Hyderabad is all set to host its second match of the season. Two teams that have had contrasting starts to their campaigns will lock horns against each other. Hosts Sunrisers Hyderabad are one of the three teams yet to open their account, courtesy two big losses. Punjab Kings, on the other hand, are one of the two teams yet to lose a game. What's in store today? Let's find out..",1681044367500,66236
preview,"Nothing has clicked for  so far. They've already used two different opening pairs in as many outings, Harry Brook flopped in both the matches, Mayank Agarwal hasn't been able to bring his domestic form into this tournament and too much has been asked of the lower order. Even their bowling has been well below par. Hyderabad have the worst NRR and are currently languishing at the bottom of the table but it's still early days in the tourney. It'll be interesting to see what changes they make. The probably missed a trick by not using Heinrich Klaasen as the Impact Player in the previous match. Should Marco Jansen make it to the XI? How long will they back Brook? A lot to ponder for the Sunrisers!",1681044694612,66236
preview,"Lost the toss twice, asked to bat first twice but  emerged victorious on both occasions. Three Indian batters in the top-four - Prabhsimran Singh, Shikhar Dhawan and Jitesh Sharma - made notable contributions in both the games. Bhanuka Rajapaksa scored a fifty in the first match but was forced to retire hurt in the previous match as he suffered a blow on the hand when he was standing at the non-striker's end. Following Punjab's win over RR, the Sri Lankan tweeted ""The X-rays have cleared me of any broken bones/fractures! Plenty of ice needed but I'm doing fine!"" In the bowling department, Arshdeep Singh has been brilliant with the new ball and Nathan Ellis continues to show his worth in this format, especially at the death overs. And they also have Sam Curran who loves to perform in pressure situations. The Kings won't be tinkering their winning combination too much.",1681045062964,66236
preview," When you play at different venues, it (new ball) behaves differently. We are a very good side, it's a balanced side. Nothing went right in the first two matches. We can turn things around. From hereon, we can improve. The support we get here has been amazing. If you look at our record at this venue, it's amazing, it gives us a boost. I don't look at the surface, I bowl the first ball and assess.",1681046418120,66236
preview, receives his Punjab Kings cap from Trevor Bayliss! He might be coming in for Rajapaksa.,1681046657794,66236
preview," We've moved from red soil to black soil. It's certainly dry. We can see a few cracks. The team winning the toss will potentially bat first. Expect a little bit of swing with the new ball. Should spin a little bit more than we saw the other day. It's devoid of grass as well. All in all, a pretty good surface. Bat first, put runs on the board.",1681046971206,66236
preview,A couple of caps being handed out in the SRH camp as well - Heinrich Klaasen and Mayank Markande,1681046998963,66236
preview,,1681047061162,66236
preview," We'll bowl first. We are happy to chase. Looks like a good surface. Hopefully we can bowl well upfront. To the eye, it looks a lot better. The atmosphere has been pretty calm, you can't fix anything in a day technically. Hopefully we can get our first win. Two new caps are Klaasen and Mayank Markande, excited for them.",1681047133238,66236
preview," We wanted to bat first. There was no dew yesterday. We'd like to put a big total. They've lost two games while chasing, so we'll like to put them under pressure again. It looks like a very good wicket and I'm sure it's going to have true bounce. We are keeping a good  environment in the side and the whole team is  performing, that's very important. We have an experienced bowling side. In the batting, we have experience and youngsters. Short comes in for Bhanuka.",1681047184599,66236
preview," (Playing XI): Shikhar Dhawan(c), Prabhsimran Singh, Matthew Short, Jitesh Sharma(w), Shahrukh Khan, Sam Curran, Nathan Ellis, Mohit Rathee, Harpreet Brar, Rahul Chahar, Arshdeep Singh",1681047525958,66236
preview," (Playing XI): Mayank Agarwal, Harry Brook, Rahul Tripathi, Aiden Markram(c), Heinrich Klaasen(w), Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Mayank Markande, Umran Malik, T Natarajan",1681047600588,66236
preview,,1681047603317,66236
preview,"Rinku Singh went I0$ in Ahmedabad and that means Punjab are the only unbeaten side this season. A win tonight will take them to the top of the table. Right then, it's action time here in Hyderabad. Both teams got what they wanted at the toss and the players have taken their respective positions. Bhuvi has the new ball in his hand. Two slips in position. Off we go...",1681048636851,66236
preview,,1681048825583,66236
preview,,1681048825583,66236
preview," Bhuvneshwar to Prabhsimran,  Lbw!! ",1681048850494,66236
0.1,"Bhuvneshwar to Prabhsimran,  Lbw!! On the money straightaway! 127.6kph, seam-up ball that jags back in a bit off the deck from a short of a good length. Prabhsimran is rooted in his crease and doesn't account for the inward movement as he looks to defend. Beaten on the inside edge and struck on the back leg adjacent to the sticks. The umpire's finger went up quickly and Prabhsimran didn't review it. Ball-tracking shows it to be clipping top of middle (umpire's call). Perfect start for Bhuvneshwar and SRH! ",1681048853110,66236
0.1,,1681048923787,66236
0.2," Bhuvneshwar to Short, , inswinger, full and down leg, past Short's flick ",1681048937504,66236
0.2," Bhuvneshwar to Short, 1 run, length ball that holds its line outside off, Short pushes with hard hands and gets an outside edge that dribbles down to third man ",1681048965060,66236
0.3," Bhuvneshwar to Dhawan, , Bhuvneshwar sees the batter shimmy down and bowls a full delivery wide of off. The ball further moves away and that's been wided ",1681049010298,66236
0.3," Bhuvneshwar to Dhawan, no run, 127.5kph, fuller in length, angled across the left-hander and Dhawan shoulders arms. Good carry-through to the keeper ",1681049037501,66236
0.4," Bhuvneshwar to Dhawan, 2 runs, 126.8kph, leg-lined ball, flicked away with the swing to backward square leg ",1681049085819,66236
0.5," Bhuvneshwar to Dhawan, , 131.1kph, fullish delivery swinging away, Dhawan skips down the track and push-drives in the direction of the swing. Beats the diving backward point fielder to his left ",1681049134556,66236
0.6," Bhuvneshwar to Dhawan, no run, 130.3kph, slanted across the left-hander from a fullish length, Dhawan jogs down the track and lets it pass. Was just inside the tramline. End of an eventful opening over ",1681049185835,66236
0.6,,1681049255634,66236
1.1," Marco Jansen to Short, , full delivery that curls in a bit but Jansen errs with his line. Just down leg and Short misses the flick ",1681049268444,66236
1.1,A slip in place,1681049274444,66236
1.1,A slip in place,1681049274444,66236
1.1," Marco Jansen to Short, no run, 138.2kph, lbw appeal, struck down. Short stands tall and looks to heave across the line. The short of a good length ball shapes in a bit to hit him high on the back thigh ",1681049303310,66236
1.1," Marco Jansen to Short,  Lbw!! ",1681049355017,66236
1.2,"Marco Jansen to Short,  Lbw!! LBW appeal, umpire Bruce Oxenford raises his finger! Short has a word with his batting partner - Dhawan - and decides not to review. Only an inside edge could have saved him here. , full and swinging in, Short stays in his crease and tries to play an expansive drive. He didn't expect the ball to come in so much. Beaten comprehensively on the inside edge and he's pinned on the back leg adjacent to the sticks. That's plumb! ",1681049356878,66236
1.2,,1681049359878,66236
1.2,,1681049436801,66236
